Package name,Annual fee (RM),Notes
Dormant,2360,Standard package
Basic Package,3200,Standard package
Professional Package,4250,Standard package
Enterprise Package,5930,Standard package
Enterprise Plus,6980,Standard package
Add-ons only,0,For non-COSEC clients buying add-ons only
,,
Extra service (add-on),Unit,
Overseas Support Service,Month,
Local Support Service,Each,
Attend Board Meeting,2hrs/Each,
Prepare board meeting Minutes,Per meeting,
Lodgement fee to MBSR Audited A/C,Each,
Lodgement fee for MBRS annual return,Each,
